,indicativo,fecha,tmed,velmedia,presmed
748,0076,2013-07-07,25.8,2.8,1020.5999999999999
753,0076,2013-07-08,26.2,3.9,1020.4
757,0076,2013-07-09,25.6,3.9,1018.05
760,0076,2013-07-10,25.0,3.3,1014.1
764,0076,2013-07-11,25.2,4.4,1012.8
768,0076,2013-07-12,25.0,4.2,1015.0
775,0076,2013-07-13,26.2,3.3,1016.65
776,0076,2013-07-14,26.3,4.4,1017.5
782,0076,2013-07-15,26.4,4.7,1018.7
786,0076,2013-07-16,26.5,5.0,1018.85
788,0076,2013-07-17,26.8,3.6,1018.55
792,0076,2013-07-18,26.0,4.7,1018.8499999999999
796,0076,2013-07-19,25.7,4.2,1016.55
801,0076,2013-07-20,25.4,4.2,1015.1500000000001
806,0076,2013-07-21,25.4,3.6,1016.4
808,0076,2013-07-22,26.3,4.2,1015.75
812,0076,2013-07-23,26.2,4.7,1014.35
818,0076,2013-07-24,27.3,5.6,1015.8
820,0076,2013-07-25,26.8,4.2,1015.4
827,0076,2013-07-26,26.8,5.0,1011.9
831,0076,2013-07-27,28.3,5.3,1009.05
832,0076,2013-07-28,28.8,5.3,1011.95
837,0076,2013-07-29,25.4,4.7,1018.8
841,0076,2013-07-30,25.6,5.6,1022.1999999999999
846,0076,2013-07-31,25.8,5.0,1018.4
848,0076,2013-08-01,25.8,3.6,1015.9000000000001
852,0076,2013-08-02,25.7,3.9,1016.4000000000001
859,0076,2013-08-03,25.9,5.3,1018.5999999999999
863,0076,2013-08-04,26.3,3.6,1018.75
864,0076,2013-08-05,26.0,4.4,1015.7
871,0076,2013-08-06,26.5,4.2,1012.0
875,0076,2013-08-07,26.2,,
878,0076,2013-08-08,23.8,5.0,1015.8
882,0076,2013-08-09,23.6,7.5,1019.95
885,0076,2013-08-10,25.4,3.6,1019.25
888,0076,2013-08-11,24.8,5.8,1017.55
894,0076,2013-08-12,25.0,4.2,1015.7
899,0076,2013-08-13,27.4,2.8,1015.7
903,0076,2013-08-14,26.4,5.6,1017.0999999999999
907,0076,2013-08-15,26.1,3.9,1018.0999999999999
910,0076,2013-08-16,25.8,3.9,1017.25
915,0076,2013-08-17,25.6,3.3,1017.15
