,indicativo,tmed,dir,velmedia,presMax,presMin,fecha
748,0076,25.8,99.0,2.8,1021.4,1019.8,2013-07-07
753,0076,26.2,7.0,3.9,1021.5,1019.3,2013-07-08
757,0076,25.6,17.0,3.9,1020.0,1016.1,2013-07-09
760,0076,25.0,99.0,3.3,1016.6,1011.6,2013-07-10
764,0076,25.2,33.0,4.4,1014.4,1011.2,2013-07-11
768,0076,25.0,21.0,4.2,1016.7,1013.3,2013-07-12
775,0076,26.2,30.0,3.3,1018.0,1015.3,2013-07-13
776,0076,26.3,99.0,4.4,1019.7,1015.3,2013-07-14
782,0076,26.4,35.0,4.7,1019.7,1017.7,2013-07-15
786,0076,26.5,99.0,5.0,1020.2,1017.5,2013-07-16
788,0076,26.8,99.0,3.6,1019.6,1017.5,2013-07-17
792,0076,26.0,99.0,4.7,1020.8,1016.9,2013-07-18
796,0076,25.7,99.0,4.2,1018.0,1015.1,2013-07-19
801,0076,25.4,2.0,4.2,1016.1,1014.2,2013-07-20
806,0076,25.4,9.0,3.6,1017.9,1014.9,2013-07-21
808,0076,26.3,14.0,4.2,1017.0,1014.5,2013-07-22
812,0076,26.2,23.0,4.7,1015.6,1013.1,2013-07-23
818,0076,27.3,22.0,5.6,1016.5,1015.1,2013-07-24
820,0076,26.8,99.0,4.2,1016.5,1014.3,2013-07-25
827,0076,26.8,2.0,5.0,1014.3,1009.5,2013-07-26
831,0076,28.3,6.0,5.3,1010.6,1007.5,2013-07-27
832,0076,28.8,23.0,5.3,1015.4,1008.5,2013-07-28
837,0076,25.4,30.0,4.7,1023.4,1014.2,2013-07-29
841,0076,25.6,99.0,5.6,1024.1,1020.3,2013-07-30
846,0076,25.8,22.0,5.0,1020.5,1016.3,2013-07-31
848,0076,25.8,99.0,3.6,1016.7,1015.1,2013-08-01
852,0076,25.7,20.0,3.9,1017.6,1015.2,2013-08-02
859,0076,25.9,9.0,5.3,1021.4,1015.8,2013-08-03
863,0076,26.3,12.0,3.6,1020.2,1017.3,2013-08-04
864,0076,26.0,99.0,4.4,1017.5,1013.9,2013-08-05
871,0076,26.5,3.0,4.2,1015.4,1008.6,2013-08-06
875,0076,26.2,52.166666666666664,4.49,1018.2066666666666,1015.1700000000001,2013-08-07
878,0076,23.8,35.0,5.0,1020.6,1011.0,2013-08-08
882,0076,23.6,25.0,7.5,1021.5,1018.4,2013-08-09
885,0076,25.4,1.0,3.6,1020.4,1018.1,2013-08-10
