,indicativo,fecha,tmed,velmedia,presmed
733,0076,2018-01-01,13.2,6.1,1022.55
734,0076,2018-01-02,13.6,2.5,1023.8000000000001
735,0076,2018-01-03,16.8,7.5,1020.85
736,0076,2018-01-04,18.9,5.6,1017.05
737,0076,2018-01-05,15.0,4.4,1009.9000000000001
738,0076,2018-01-06,11.8,7.8,1001.25
739,0076,2018-01-07,11.2,3.3,1003.15
740,0076,2018-01-08,9.7,5.3,1010.4
741,0076,2018-01-09,9.6,3.6,1015.4
742,0076,2018-01-10,10.6,2.5,1014.6
743,0076,2018-01-11,11.0,4.7,1015.45
744,0076,2018-01-12,9.2,3.9,1021.05
745,0076,2018-01-13,8.4,3.9,1018.5999999999999
746,0076,2018-01-14,9.4,3.3,1016.7
747,0076,2018-01-15,9.3,3.1,1022.7
748,0076,2018-01-16,13.4,2.5,1019.4000000000001
749,0076,2018-01-17,14.4,6.4,1019.8
750,0076,2018-01-18,10.8,4.7,1022.75
751,0076,2018-01-19,9.6,4.2,1018.8
752,0076,2018-01-20,11.2,6.7,1018.6
753,0076,2018-01-21,19.4,7.8,1017.75
754,0076,2018-01-22,16.4,5.0,1021.6500000000001
755,0076,2018-01-23,13.8,2.8,1025.7
756,0076,2018-01-24,12.2,5.0,1026.55
757,0076,2018-01-25,12.2,3.6,1019.2
758,0076,2018-01-26,10.4,5.0,1015.75
759,0076,2018-01-27,9.7,5.3,1027.15
760,0076,2018-01-28,12.0,3.1,1034.5
761,0076,2018-01-29,11.6,3.6,1033.85
762,0076,2018-01-30,10.6,4.7,1029.25
763,0076,2018-01-31,9.7,5.8,1021.7
764,0076,2018-02-01,8.6,4.7,1011.1500000000001
765,0076,2018-02-02,8.2,2.2,1006.7
766,0076,2018-02-03,8.2,6.1,1010.7
767,0076,2018-02-04,8.6,6.4,1010.75
768,0076,2018-02-05,8.4,3.9,1008.05
769,0076,2018-02-06,9.2,3.1,1006.4
770,0076,2018-02-07,7.6,3.1,1011.95
771,0076,2018-02-08,5.6,4.7,1017.75
772,0076,2018-02-09,5.4,3.3,1017.1500000000001
773,0076,2018-02-10,8.2,3.6,1016.15
774,0076,2018-02-11,8.6,6.9,1015.2
775,0076,2018-02-12,7.9,3.6,1016.7
776,0076,2018-02-13,6.6,5.8,1016.3499999999999
777,0076,2018-02-14,8.0,3.6,1016.25
778,0076,2018-02-15,11.8,4.2,1021.2
779,0076,2018-02-16,13.2,4.2,1022.3499999999999
780,0076,2018-02-17,12.2,3.3,1020.6500000000001
781,0076,2018-02-18,11.1,4.2,1020.2
782,0076,2018-02-19,10.1,3.3,1016.0
783,0076,2018-02-20,12.3,3.1,1011.05
784,0076,2018-02-21,10.2,5.6,1007.2
785,0076,2018-02-22,6.6,4.2,1006.0999999999999
786,0076,2018-02-23,7.8,4.2,1006.6
787,0076,2018-02-24,7.4,4.4,1008.45
788,0076,2018-02-25,10.0,3.1,1008.4
789,0076,2018-02-26,7.8,6.1,1007.4000000000001
790,0076,2018-02-27,3.4,2.5,1009.4
791,0076,2018-02-28,4.0,5.3,1003.3499999999999
792,0076,2018-03-01,11.0,4.7,992.4
793,0076,2018-03-02,12.7,7.8,995.85
794,0076,2018-03-03,14.4,3.9,998.3
795,0076,2018-03-04,12.6,2.8,997.0
796,0076,2018-03-05,12.4,4.7,993.7
797,0076,2018-03-06,13.3,4.4,995.95
798,0076,2018-03-07,12.0,5.0,1005.9
799,0076,2018-03-08,11.3,5.6,1010.25
800,0076,2018-03-09,11.7,4.2,1010.95
801,0076,2018-03-10,14.8,5.3,1005.55
802,0076,2018-03-11,14.4,6.9,1000.4
803,0076,2018-03-12,15.8,5.6,1008.6
804,0076,2018-03-13,12.4,5.0,1014.55
805,0076,2018-03-14,11.8,4.7,1007.55
806,0076,2018-03-15,15.9,5.3,999.7
807,0076,2018-03-16,13.4,6.4,1001.8
808,0076,2018-03-17,11.0,4.4,998.85
809,0076,2018-03-18,10.2,5.3,1000.9
810,0076,2018-03-19,11.0,5.8,1003.1500000000001
811,0076,2018-03-20,8.2,3.3,1007.25
812,0076,2018-03-21,9.5,4.2,1017.45
813,0076,2018-03-22,10.6,5.3,1015.95
814,0076,2018-03-23,11.8,3.9,1005.3499999999999
815,0076,2018-03-24,8.6,4.7,997.3
816,0076,2018-03-25,11.2,2.8,1006.75
817,0076,2018-03-26,12.0,5.8,1015.95
818,0076,2018-03-27,11.9,5.6,1019.4
819,0076,2018-03-28,15.5,4.4,1013.7
820,0076,2018-03-29,14.4,3.3,1008.4
821,0076,2018-03-30,14.8,5.3,1003.5
822,0076,2018-03-31,14.4,8.9,1007.0999999999999
823,0076,2018-04-01,12.2,4.7,1016.45
824,0076,2018-04-02,13.5,5.3,1011.2
825,0076,2018-04-03,14.3,5.6,1007.9
826,0076,2018-04-04,18.0,5.3,1011.3
827,0076,2018-04-05,15.4,3.1,1017.65
828,0076,2018-04-06,13.4,4.7,1015.1500000000001
829,0076,2018-04-07,15.7,10.8,1009.3499999999999
830,0076,2018-04-08,14.0,7.2,1004.15
