,indicativo,fecha,tmed,dir,velmedia,presMax,presMin
0,9434,2012-01-01,11.8,27.0,1.7,997.1,992.4
0,9263D,2012-01-01,10.5,99.0,1.7,974.4,967.8
0,9898,2012-01-01,9.8,31.0,1.9,960.8,957.7
0,0076,2012-01-01,12.9,99.0,4.4,1025.9,1020.4
1,9263D,2012-01-02,9.1,30.0,3.3,978.0,967.4
1,9434,2012-01-02,9.6,24.0,4.4,1001.0,990.3
1,9898,2012-01-02,8.7,30.0,,963.4,955.8
1,0076,2012-01-02,12.6,26.0,3.6,1027.2,1018.0
2,9263D,2012-01-03,5.6,99.0,0.6,978.5,976.5
2,9898,2012-01-03,7.7,,,965.7,963.4
2,9434,2012-01-03,7.6,27.0,4.4,1002.0,1000.0
2,0076,2012-01-03,10.6,35.0,2.8,1030.5,1027.0
3,9898,2012-01-04,9.2,29.0,11.7,966.1,964.3
3,0076,2012-01-04,10.8,30.0,4.7,1029.1,1025.7
3,9434,2012-01-04,9.6,29.0,6.9,1003.2,1000.5
3,9263D,2012-01-04,6.5,34.0,1.1,981.0,978.1
4,9263D,2012-01-05,6.4,32.0,4.4,978.9,973.8
4,9898,2012-01-05,10.0,31.0,11.4,964.6,957.4
4,9434,2012-01-05,10.6,30.0,7.8,1001.4,994.6
4,0076,2012-01-05,11.3,31.0,3.1,1028.3,1013.5
5,9434,2012-01-06,11.9,29.0,12.8,1000.0,994.1
5,9263D,2012-01-06,9.2,35.0,4.7,978.8,973.4
5,9898,2012-01-06,9.2,31.0,14.4,962.8,954.7
5,0076,2012-01-06,11.5,31.0,2.2,1026.3,1013.3
6,9434,2012-01-07,11.2,29.0,9.7,1000.2,998.1
6,9263D,2012-01-07,9.8,34.0,5.0,979.2,977.3
6,9898,2012-01-07,9.6,23.0,2.5,963.4,961.3
6,0076,2012-01-07,9.0,34.0,2.8,1029.4,1025.3
7,9263D,2012-01-08,9.2,2.0,6.1,977.3,974.8
7,9898,2012-01-08,7.4,9.0,2.8,962.9,959.0
7,0076,2012-01-08,9.0,33.0,3.9,1027.6,1023.8
