,indicativo,fecha,tmed,velmedia,presmed
751,9898,2013-07-07,27.4,2.8,956.75
754,9898,2013-07-08,26.2,2.8,956.4000000000001
756,9898,2013-07-09,26.3,4.4,954.6
763,9898,2013-07-10,26.3,2.2,951.0999999999999
766,9898,2013-07-11,25.2,,951.4000000000001
769,9898,2013-07-12,26.8,,952.75
773,9898,2013-07-13,25.5,4.7,953.8499999999999
779,9898,2013-07-14,24.4,4.4,955.4
783,9898,2013-07-15,25.0,2.5,956.0999999999999
784,9898,2013-07-16,26.4,3.1,955.65
790,9898,2013-07-17,24.6,3.6,956.55
794,9898,2013-07-18,25.2,3.1,955.1
797,9898,2013-07-19,24.8,3.6,953.2
803,9898,2013-07-20,24.8,1.7,952.75
804,9898,2013-07-21,26.2,3.3,954.05
810,9898,2013-07-22,25.8,2.8,953.45
814,9898,2013-07-23,26.9,2.5,951.75
817,9898,2013-07-24,26.0,3.1,953.2
823,9898,2013-07-25,28.6,4.7,951.9
825,9898,2013-07-26,27.6,5.0,949.2
830,9898,2013-07-27,27.6,2.8,946.55
833,9898,2013-07-28,23.7,4.2,950.7
839,9898,2013-07-29,21.8,,956.5
840,9898,2013-07-30,25.0,,959.1
845,9898,2013-07-31,27.4,,954.95
851,9898,2013-08-01,28.4,5.8,952.2
853,9898,2013-08-02,27.7,6.1,952.2
857,9898,2013-08-03,25.9,3.6,954.2
860,9898,2013-08-04,25.8,2.8,955.75
867,9898,2013-08-05,27.4,3.9,952.7
870,9898,2013-08-06,25.9,3.1,950.25
872,9898,2013-08-07,22.6,4.7,949.35
876,9898,2013-08-08,19.0,8.3,954.75
881,9898,2013-08-09,21.2,4.7,957.7
886,9898,2013-08-10,22.8,4.2,956.3
889,9898,2013-08-11,26.2,2.2,954.65
895,9898,2013-08-12,27.0,3.6,953.05
897,9898,2013-08-13,25.4,2.8,954.35
901,9898,2013-08-14,23.8,4.4,954.35
904,9898,2013-08-15,25.4,3.3,954.45
909,9898,2013-08-16,24.9,4.2,955.0
914,9898,2013-08-17,22.5,2.2,954.7
917,9898,2013-08-18,25.1,2.2,954.3
922,9898,2013-08-19,24.0,4.7,954.8
927,9898,2013-08-20,21.8,3.1,957.4
931,9898,2013-08-21,25.0,2.8,955.05
935,9898,2013-08-22,25.3,3.6,952.45
938,9898,2013-08-23,23.8,2.5,952.3499999999999
940,9898,2013-08-24,22.6,6.7,951.9000000000001
945,9898,2013-08-25,20.6,5.0,949.75
948,9898,2013-08-26,21.1,4.4,948.95
952,9898,2013-08-27,21.6,3.6,951.25
956,9898,2013-08-28,19.0,3.3,952.7
963,9898,2013-08-29,21.5,1.4,955.45
967,9898,2013-08-30,21.9,5.0,955.65
971,9898,2013-08-31,20.5,3.3,957.3
975,9898,2013-09-01,22.1,4.2,957.9000000000001
976,9898,2013-09-02,21.3,2.5,958.5
982,9898,2013-09-03,24.0,2.5,959.1
985,9898,2013-09-04,23.0,4.2,956.8
988,9898,2013-09-05,22.6,3.1,952.65
994,9898,2013-09-06,21.9,3.3,950.1
999,9898,2013-09-07,17.8,3.6,952.2
1000,9898,2013-09-08,19.2,3.1,956.5
1004,9898,2013-09-09,17.4,3.6,958.65
1011,9898,2013-09-10,20.0,6.7,955.5
1012,9898,2013-09-11,17.5,4.7,955.3499999999999
1017,9898,2013-09-12,16.7,2.5,956.6
1020,9898,2013-09-13,19.3,3.3,958.45
1026,9898,2013-09-14,21.4,1.9,954.95
1028,9898,2013-09-15,18.5,7.5,951.7
1033,9898,2013-09-16,19.0,6.1,950.1500000000001
1038,9898,2013-09-17,18.8,10.6,950.1500000000001
1043,9898,2013-09-18,18.4,7.5,950.75
1044,9898,2013-09-19,20.8,,951.45
1049,9898,2013-09-20,20.0,3.3,954.45
1054,9898,2013-09-21,21.8,2.2,957.8499999999999
1056,9898,2013-09-22,23.0,2.8,959.2
1063,9898,2013-09-23,21.6,2.8,956.1500000000001
1065,9898,2013-09-24,22.0,3.1,952.8499999999999
1070,9898,2013-09-25,23.3,3.1,950.85
1073,9898,2013-09-26,24.0,3.9,951.35
1076,9898,2013-09-27,24.4,3.3,949.2
1080,9898,2013-09-28,20.3,3.6,945.7
1085,9898,2013-09-29,19.4,1.7,944.25
1090,9898,2013-09-30,21.2,4.4,945.1
1093,9898,2013-10-01,23.6,3.6,946.8499999999999
1098,9898,2013-10-02,23.8,2.2,948.5
1103,9898,2013-10-03,21.4,5.3,949.7
1105,9898,2013-10-04,17.2,3.9,953.35
1109,9898,2013-10-05,18.0,3.9,956.65
1114,9898,2013-10-06,17.8,3.9,957.7
1117,9898,2013-10-07,16.4,2.5,957.45
1123,9898,2013-10-08,16.6,3.1,958.3
1126,9898,2013-10-09,15.9,2.8,956.5
1128,9898,2013-10-10,15.2,8.6,951.8
1133,9898,2013-10-11,12.1,3.3,950.0
1138,9898,2013-10-12,11.2,2.2,953.1
1142,9898,2013-10-13,15.2,2.2,955.4000000000001
1147,9898,2013-10-14,17.3,1.4,955.8
1149,9898,2013-10-15,17.9,4.4,954.25
1152,9898,2013-10-16,20.1,6.9,954.8
1156,9898,2013-10-17,18.7,2.5,954.85
1163,9898,2013-10-18,21.1,3.9,951.7
1165,9898,2013-10-19,18.9,3.9,952.9000000000001
1169,9898,2013-10-20,19.0,,954.45
1173,9898,2013-10-21,19.0,3.1,952.95
1178,9898,2013-10-22,18.2,3.3,948.8
1183,9898,2013-10-23,18.2,2.2,950.5
1187,9898,2013-10-24,15.6,4.7,951.95
1188,9898,2013-10-25,20.0,5.6,951.2
1192,9898,2013-10-26,20.6,2.5,955.3
1197,9898,2013-10-27,18.5,2.8,958.15
1202,9898,2013-10-28,19.2,2.5,953.9
1205,9898,2013-10-29,12.6,6.7,953.85
1208,9898,2013-10-30,12.2,3.3,955.8499999999999
1212,9898,2013-10-31,10.6,2.2,958.05
1216,9898,2013-11-01,13.0,1.7,957.0
1222,9898,2013-11-02,17.5,2.5,953.3499999999999
1224,9898,2013-11-03,15.2,5.6,953.15
1228,9898,2013-11-04,10.8,6.7,947.45
1234,9898,2013-11-05,15.4,13.9,948.25
1237,9898,2013-11-06,18.8,6.9,953.6500000000001
1240,9898,2013-11-07,16.2,1.9,954.2
