,indicativo,tmed,velmedia,presmed,fecha
751,9898,27.4,2.8,956.75,2013-07-07
754,9898,26.2,2.8,956.4000000000001,2013-07-08
756,9898,26.3,4.4,954.6,2013-07-09
763,9898,26.3,2.2,951.0999999999999,2013-07-10
766,9898,25.2,3.3649999999999998,951.4000000000001,2013-07-11
769,9898,26.8,3.3649999999999998,952.75,2013-07-12
773,9898,25.5,4.7,953.8499999999999,2013-07-13
779,9898,24.4,4.4,955.4,2013-07-14
783,9898,25.0,2.5,956.0999999999999,2013-07-15
784,9898,26.4,3.1,955.65,2013-07-16
790,9898,24.6,3.6,956.55,2013-07-17
794,9898,25.2,3.1,955.1,2013-07-18
797,9898,24.8,3.6,953.2,2013-07-19
803,9898,24.8,1.7,952.75,2013-07-20
804,9898,26.2,3.3,954.05,2013-07-21
810,9898,25.8,2.8,953.45,2013-07-22
814,9898,26.9,2.5,951.75,2013-07-23
817,9898,26.0,3.1,953.2,2013-07-24
823,9898,28.6,4.7,951.9,2013-07-25
825,9898,27.6,5.0,949.2,2013-07-26
830,9898,27.6,2.8,946.55,2013-07-27
833,9898,23.7,4.2,950.7,2013-07-28
839,9898,21.8,3.3649999999999998,956.5,2013-07-29
840,9898,25.0,3.3649999999999998,959.1,2013-07-30
845,9898,27.4,3.3649999999999998,954.95,2013-07-31
851,9898,28.4,5.8,952.2,2013-08-01
853,9898,27.7,6.1,952.2,2013-08-02
857,9898,25.9,3.6,954.2,2013-08-03
860,9898,25.8,2.8,955.75,2013-08-04
867,9898,27.4,3.9,952.7,2013-08-05
870,9898,25.9,3.1,950.25,2013-08-06
872,9898,22.6,4.7,949.35,2013-08-07
876,9898,19.0,8.3,954.75,2013-08-08
881,9898,21.2,4.7,957.7,2013-08-09
886,9898,22.8,4.2,956.3,2013-08-10
889,9898,26.2,2.2,954.65,2013-08-11
895,9898,27.0,3.6,953.05,2013-08-12
897,9898,25.4,2.8,954.35,2013-08-13
901,9898,23.8,4.4,954.35,2013-08-14
904,9898,25.4,3.3,954.45,2013-08-15
909,9898,24.9,4.2,955.0,2013-08-16
914,9898,22.5,2.2,954.7,2013-08-17
917,9898,25.1,2.2,954.3,2013-08-18
922,9898,24.0,4.7,954.8,2013-08-19
927,9898,21.8,3.1,957.4,2013-08-20
931,9898,25.0,2.8,955.05,2013-08-21
935,9898,25.3,3.6,952.45,2013-08-22
938,9898,23.8,2.5,952.3499999999999,2013-08-23
940,9898,22.6,6.7,951.9000000000001,2013-08-24
945,9898,20.6,5.0,949.75,2013-08-25
948,9898,21.1,4.4,948.95,2013-08-26
952,9898,21.6,3.6,951.25,2013-08-27
956,9898,19.0,3.3,952.7,2013-08-28
963,9898,21.5,1.4,955.45,2013-08-29
967,9898,21.9,5.0,955.65,2013-08-30
971,9898,20.5,3.3,957.3,2013-08-31
975,9898,22.1,4.2,957.9000000000001,2013-09-01
976,9898,21.3,2.5,958.5,2013-09-02
982,9898,24.0,2.5,959.1,2013-09-03
985,9898,23.0,4.2,956.8,2013-09-04
988,9898,22.6,3.1,952.65,2013-09-05
994,9898,21.9,3.3,950.1,2013-09-06
999,9898,17.8,3.6,952.2,2013-09-07
1000,9898,19.2,3.1,956.5,2013-09-08
1004,9898,17.4,3.6,958.65,2013-09-09
1011,9898,20.0,6.7,955.5,2013-09-10
1012,9898,17.5,4.7,955.3499999999999,2013-09-11
1017,9898,16.7,2.5,956.6,2013-09-12
1020,9898,19.3,3.3,958.45,2013-09-13
1026,9898,21.4,1.9,954.95,2013-09-14
1028,9898,18.5,7.5,951.7,2013-09-15
1033,9898,19.0,6.1,950.1500000000001,2013-09-16
1038,9898,18.8,10.6,950.1500000000001,2013-09-17
1043,9898,18.4,7.5,950.75,2013-09-18
1044,9898,20.8,3.968965517241379,951.45,2013-09-19
1049,9898,20.0,3.3,954.45,2013-09-20
1054,9898,21.8,2.2,957.8499999999999,2013-09-21
1056,9898,23.0,2.8,959.2,2013-09-22
1063,9898,21.6,2.8,956.1500000000001,2013-09-23
1065,9898,22.0,3.1,952.8499999999999,2013-09-24
1070,9898,23.3,3.1,950.85,2013-09-25
1073,9898,24.0,3.9,951.35,2013-09-26
1076,9898,24.4,3.3,949.2,2013-09-27
1080,9898,20.3,3.6,945.7,2013-09-28
1085,9898,19.4,1.7,944.25,2013-09-29
1090,9898,21.2,4.4,945.1,2013-09-30
1093,9898,23.6,3.6,946.8499999999999,2013-10-01
1098,9898,23.8,2.2,948.5,2013-10-02
1103,9898,21.4,5.3,949.7,2013-10-03
1105,9898,17.2,3.9,953.35,2013-10-04
1109,9898,18.0,3.9,956.65,2013-10-05
1114,9898,17.8,3.9,957.7,2013-10-06
1117,9898,16.4,2.5,957.45,2013-10-07
1123,9898,16.6,3.1,958.3,2013-10-08
1126,9898,15.9,2.8,956.5,2013-10-09
1128,9898,15.2,8.6,951.8,2013-10-10
1133,9898,12.1,3.3,950.0,2013-10-11
1138,9898,11.2,2.2,953.1,2013-10-12
1142,9898,15.2,2.2,955.4000000000001,2013-10-13
1147,9898,17.3,1.4,955.8,2013-10-14
1149,9898,17.9,4.4,954.25,2013-10-15
1152,9898,20.1,6.9,954.8,2013-10-16
1156,9898,18.7,2.5,954.85,2013-10-17
1163,9898,21.1,3.9,951.7,2013-10-18
1165,9898,18.9,3.9,952.9000000000001,2013-10-19
1169,9898,19.0,3.6466666666666665,954.45,2013-10-20
1173,9898,19.0,3.1,952.95,2013-10-21
1178,9898,18.2,3.3,948.8,2013-10-22
1183,9898,18.2,2.2,950.5,2013-10-23
1187,9898,15.6,4.7,951.95,2013-10-24
1188,9898,20.0,5.6,951.2,2013-10-25
1192,9898,20.6,2.5,955.3,2013-10-26
1197,9898,18.5,2.8,958.15,2013-10-27
1202,9898,19.2,2.5,953.9,2013-10-28
1205,9898,12.6,6.7,953.85,2013-10-29
1208,9898,12.2,3.3,955.8499999999999,2013-10-30
1212,9898,10.6,2.2,958.05,2013-10-31
1216,9898,13.0,1.7,957.0,2013-11-01
1222,9898,17.5,2.5,953.3499999999999,2013-11-02
1224,9898,15.2,5.6,953.15,2013-11-03
1228,9898,10.8,6.7,947.45,2013-11-04
1234,9898,15.4,13.9,948.25,2013-11-05
1237,9898,18.8,6.9,953.6500000000001,2013-11-06
