,indicativo,fecha,tmed,velmedia,presmed
1465,9898,2014-01-01,7.2,2.5,951.4
1466,9898,2014-01-02,9.6,2.8,948.8
1467,9898,2014-01-03,12.2,3.1,951.4
1468,9898,2014-01-04,7.4,6.4,946.25
1469,9898,2014-01-05,4.8,5.6,950.8499999999999
1470,9898,2014-01-06,9.2,1.9,953.85
1471,9898,2014-01-07,10.9,2.8,955.75
1472,9898,2014-01-08,12.0,3.9,957.6
1473,9898,2014-01-09,10.0,1.1,955.95
1474,9898,2014-01-10,7.2,1.7,953.5
1475,9898,2014-01-11,7.9,1.4,954.8
1476,9898,2014-01-12,7.0,1.4,958.4
1477,9898,2014-01-13,6.4,3.3,953.5999999999999
1478,9898,2014-01-14,6.0,5.8,948.0
1479,9898,2014-01-15,5.9,2.5,949.25
1480,9898,2014-01-16,7.2,2.5,945.55
1481,9898,2014-01-17,6.5,2.5,941.4
1482,9898,2014-01-18,5.9,4.4,934.0999999999999
1483,9898,2014-01-19,6.4,3.3,934.9
1484,9898,2014-01-20,4.6,11.4,944.4
1485,9898,2014-01-21,5.6,3.9,949.35
1486,9898,2014-01-22,8.0,3.6,948.1
1487,9898,2014-01-23,8.0,8.9,955.65
1488,9898,2014-01-24,9.9,15.6,953.3499999999999
1489,9898,2014-01-25,13.0,14.2,953.9
1490,9898,2014-01-26,11.6,7.8,952.75
1491,9898,2014-01-27,6.4,10.6,945.25
1492,9898,2014-01-28,4.8,3.1,938.3
1493,9898,2014-01-29,4.6,3.9,934.55
1494,9898,2014-01-30,5.0,8.9,939.3499999999999
1495,9898,2014-01-31,7.0,4.7,944.65
1496,9898,2014-02-01,5.6,6.7,944.5999999999999
1497,9898,2014-02-02,5.0,8.1,949.5
1498,9898,2014-02-03,3.3,2.2,947.35
1499,9898,2014-02-04,5.2,3.3,946.0999999999999
1500,9898,2014-02-05,8.4,6.1,944.5999999999999
1503,9898,2014-02-08,6.6,4.2,945.3
1504,9898,2014-02-09,3.9,3.6,939.6500000000001
1505,9898,2014-02-10,5.4,10.8,938.7
1506,9898,2014-02-11,2.0,3.1,948.55
1507,9898,2014-02-12,5.4,2.2,950.6500000000001
1508,9898,2014-02-13,10.6,3.3,949.65
1509,9898,2014-02-14,12.7,3.6,947.3499999999999
1510,9898,2014-02-15,11.2,4.7,946.45
1511,9898,2014-02-16,8.2,2.8,950.4
1512,9898,2014-02-17,7.4,2.5,949.6
1513,9898,2014-02-18,8.4,3.6,948.3
1514,9898,2014-02-19,9.9,5.3,951.45
1515,9898,2014-02-20,9.9,4.2,952.65
1517,9898,2014-02-22,7.4,5.6,955.95
1518,9898,2014-02-23,8.6,4.2,954.5
1519,9898,2014-02-24,9.7,3.9,951.75
1520,9898,2014-02-25,7.3,3.3,951.95
1521,9898,2014-02-26,5.4,7.5,956.3499999999999
1522,9898,2014-02-27,5.1,5.8,958.9000000000001
1524,9898,2014-03-01,5.4,5.0,942.0
1525,9898,2014-03-02,9.4,7.2,938.35
1526,9898,2014-03-03,7.3,12.5,938.35
1527,9898,2014-03-04,6.4,11.1,942.75
1528,9898,2014-03-05,11.8,10.0,949.6
1529,9898,2014-03-06,11.8,2.8,956.5
1530,9898,2014-03-07,11.6,2.2,958.8
1531,9898,2014-03-08,12.9,2.5,958.6
1532,9898,2014-03-09,12.9,3.1,961.0
1533,9898,2014-03-10,12.6,3.9,957.0
1534,9898,2014-03-11,12.6,3.1,956.3499999999999
1535,9898,2014-03-12,11.7,3.3,960.3499999999999
1536,9898,2014-03-13,11.6,2.2,962.0999999999999
1537,9898,2014-03-14,12.4,3.3,960.1500000000001
1538,9898,2014-03-15,13.8,4.7,959.8499999999999
1539,9898,2014-03-16,13.6,5.3,958.15
1540,9898,2014-03-17,16.4,1.9,956.4000000000001
1541,9898,2014-03-18,14.8,2.5,956.4
1542,9898,2014-03-19,12.2,2.5,957.05
1543,9898,2014-03-20,15.0,2.8,954.3
1544,9898,2014-03-21,12.5,2.8,953.05
1545,9898,2014-03-22,10.6,5.6,948.45
1546,9898,2014-03-23,5.5,11.1,951.85
1547,9898,2014-03-24,7.0,6.1,951.95
1548,9898,2014-03-25,6.8,12.2,947.25
1549,9898,2014-03-26,7.3,8.6,943.6
1550,9898,2014-03-27,7.8,4.7,945.5
1551,9898,2014-03-28,10.5,5.3,947.15
1552,9898,2014-03-29,11.7,6.9,946.0
1553,9898,2014-03-30,10.2,3.3,948.8499999999999
1554,9898,2014-03-31,13.4,2.8,950.2
1555,9898,2014-04-01,13.6,5.0,947.2
1556,9898,2014-04-02,13.5,5.3,940.8
1557,9898,2014-04-03,9.2,5.8,937.2
1558,9898,2014-04-04,13.2,10.0,944.5999999999999
1559,9898,2014-04-05,15.0,9.4,952.3
1560,9898,2014-04-06,17.0,1.9,955.1
1561,9898,2014-04-07,18.5,2.2,954.75
1562,9898,2014-04-08,16.2,5.0,956.4000000000001
1563,9898,2014-04-09,16.1,2.2,956.1500000000001
1564,9898,2014-04-10,18.6,3.9,953.8499999999999
1565,9898,2014-04-11,19.2,2.5,951.05
1566,9898,2014-04-12,16.5,2.5,953.75
1567,9898,2014-04-13,16.3,4.4,955.0999999999999
1568,9898,2014-04-14,17.4,2.2,953.65
1569,9898,2014-04-15,19.5,3.6,951.35
1570,9898,2014-04-16,19.8,3.3,953.25
1571,9898,2014-04-17,18.1,4.4,953.05
1572,9898,2014-04-18,18.1,5.3,948.1
1573,9898,2014-04-19,16.4,4.7,941.3
1574,9898,2014-04-20,12.7,3.6,939.3499999999999
1575,9898,2014-04-21,13.4,2.8,941.2
1576,9898,2014-04-22,14.2,4.7,948.2
1577,9898,2014-04-23,16.3,3.3,954.05
1578,9898,2014-04-24,14.0,4.2,951.65
1579,9898,2014-04-25,12.0,13.1,950.95
1580,9898,2014-04-26,13.5,4.7,950.55
1581,9898,2014-04-27,11.8,12.5,950.75
1582,9898,2014-04-28,13.4,10.6,950.95
1583,9898,2014-04-29,15.2,6.7,950.9000000000001
1584,9898,2014-04-30,15.8,10.0,949.9
1585,9898,2014-05-01,15.9,7.5,951.8
1586,9898,2014-05-02,13.0,12.2,951.5
