,indicativo,fecha,tmed,dir,velmedia,presMax,presMin
750,9263D,2013-07-07,21.8,32.0,4.2,971.6,968.7
755,9263D,2013-07-08,24.7,99.0,2.8,970.2,966.1
759,9263D,2013-07-09,26.0,17.0,2.2,967.8,962.3
762,9263D,2013-07-10,26.2,99.0,2.5,964.3,959.4
767,9263D,2013-07-11,24.8,35.0,2.8,963.2,960.3
771,9263D,2013-07-12,26.6,33.0,3.3,965.7,961.4
772,9263D,2013-07-13,25.2,32.0,2.2,967.3,963.2
778,9263D,2013-07-14,23.4,99.0,4.4,969.2,965.6
781,9263D,2013-07-15,23.8,15.0,1.9,969.8,966.6
785,9263D,2013-07-16,,,,,
789,9263D,2013-07-17,23.1,35.0,4.7,970.4,968.1
793,9263D,2013-07-18,22.6,32.0,1.9,969.4,965.4
798,9263D,2013-07-19,24.6,15.0,1.4,966.6,961.4
802,9263D,2013-07-20,26.3,99.0,2.2,964.3,960.9
805,9263D,2013-07-21,27.0,23.0,5.0,966.7,962.5
811,9263D,2013-07-22,25.0,99.0,1.7,966.1,961.6
815,9263D,2013-07-23,26.0,99.0,2.8,965.6,960.7
816,9263D,2013-07-24,26.0,20.0,1.7,965.6,962.3
822,9263D,2013-07-25,28.4,34.0,4.2,964.6,958.8
824,9263D,2013-07-26,27.7,13.0,3.9,961.8,955.4
828,9263D,2013-07-27,24.4,99.0,2.5,960.0,955.6
835,9263D,2013-07-28,23.4,99.0,3.1,967.1,959.6
836,9263D,2013-07-29,20.8,34.0,2.2,973.1,967.0
843,9263D,2013-07-30,23.6,34.0,2.5,973.0,969.1
844,9263D,2013-07-31,26.2,14.0,3.3,969.5,961.8
849,9263D,2013-08-01,28.9,99.0,4.7,962.7,958.0
855,9263D,2013-08-02,28.8,34.0,5.3,967.0,959.3
856,9263D,2013-08-03,23.3,33.0,4.4,969.4,965.9
862,9263D,2013-08-04,25.6,99.0,3.1,969.8,964.3
866,9263D,2013-08-05,22.6,34.0,5.6,965.9,963.3
869,9263D,2013-08-06,23.4,99.0,2.8,965.3,958.9
874,9263D,2013-08-07,20.6,32.0,3.6,964.7,959.3
879,9263D,2013-08-08,17.6,1.0,4.2,973.7,964.6
883,9263D,2013-08-09,19.4,99.0,6.1,973.4,971.5
884,9263D,2013-08-10,20.7,31.0,6.1,972.8,968.9
890,9263D,2013-08-11,23.8,32.0,2.2,969.5,963.9
892,9263D,2013-08-12,24.5,34.0,5.0,967.9,963.4
898,9263D,2013-08-13,21.2,36.0,6.4,969.5,967.2
900,9263D,2013-08-14,21.2,32.0,5.6,969.1,966.3
905,9263D,2013-08-15,22.8,99.0,1.9,968.1,963.6
908,9263D,2013-08-16,23.3,34.0,3.6,969.6,963.9
912,9263D,2013-08-17,23.6,34.0,3.3,969.0,964.7
916,9263D,2013-08-18,24.1,35.0,1.1,967.2,963.6
921,9263D,2013-08-19,21.0,99.0,5.3,972.7,967.0
925,9263D,2013-08-20,21.4,33.0,5.3,972.1,968.3
928,9263D,2013-08-21,23.3,30.0,1.1,968.8,963.1
934,9263D,2013-08-22,24.8,33.0,2.5,965.0,960.4
937,9263D,2013-08-23,24.2,99.0,4.2,966.3,962.4
942,9263D,2013-08-24,19.6,35.0,6.9,968.1,966.0
946,9263D,2013-08-25,19.0,36.0,5.0,967.7,961.6
951,9263D,2013-08-26,17.6,35.0,4.2,963.8,961.1
954,9263D,2013-08-27,19.1,32.0,4.4,966.1,963.3
958,9263D,2013-08-28,20.6,36.0,5.0,967.9,964.8
961,9263D,2013-08-29,19.7,34.0,3.9,969.9,966.9
965,9263D,2013-08-30,20.0,36.0,5.8,971.7,968.4
968,9263D,2013-08-31,20.1,33.0,6.4,972.8,970.3
974,9263D,2013-09-01,20.6,32.0,6.4,973.2,970.6
979,9263D,2013-09-02,21.0,31.0,5.3,972.4,969.6
983,9263D,2013-09-03,22.0,22.0,1.4,972.0,967.8
984,9263D,2013-09-04,23.0,18.0,3.1,969.5,964.7
990,9263D,2013-09-05,22.3,32.0,2.8,965.4,959.3
995,9263D,2013-09-06,21.9,34.0,2.8,964.1,959.5
998,9263D,2013-09-07,18.6,31.0,0.8,966.3,961.9
1003,9263D,2013-09-08,15.8,34.0,2.2,973.2,966.0
1005,9263D,2013-09-09,16.3,99.0,3.3,973.2,970.2
1010,9263D,2013-09-10,17.2,99.0,5.0,971.4,968.6
1015,9263D,2013-09-11,15.8,99.0,6.4,971.2,969.0
1016,9263D,2013-09-12,16.0,33.0,5.3,971.8,969.9
