,tmed,velmedia,presmed,fecha
750,21.8,4.2,970.1500000000001,2013-07-07
755,24.7,2.8,968.1500000000001,2013-07-08
759,26.0,2.2,965.05,2013-07-09
762,26.2,2.5,961.8499999999999,2013-07-10
767,24.8,2.8,961.75,2013-07-11
771,26.6,3.3,963.55,2013-07-12
772,25.2,2.2,965.25,2013-07-13
778,23.4,4.4,967.4000000000001,2013-07-14
781,23.8,1.9,968.2,2013-07-15
785,24.900000000000006,2.891666666666666,964.9312500000001,2013-07-16
789,23.1,4.7,969.25,2013-07-17
793,22.6,1.9,967.4,2013-07-18
798,24.6,1.4,964.0,2013-07-19
802,26.3,2.2,962.5999999999999,2013-07-20
805,27.0,5.0,964.6,2013-07-21
811,25.0,1.7,963.85,2013-07-22
815,26.0,2.8,963.1500000000001,2013-07-23
816,26.0,1.7,963.95,2013-07-24
822,28.4,4.2,961.7,2013-07-25
824,27.7,3.9,958.5999999999999,2013-07-26
828,24.4,2.5,957.8,2013-07-27
835,23.4,3.1,963.35,2013-07-28
836,20.8,2.2,970.05,2013-07-29
843,23.6,2.5,971.05,2013-07-30
844,26.2,3.3,965.65,2013-07-31
849,28.9,4.7,960.35,2013-08-01
855,28.8,5.3,963.15,2013-08-02
856,23.3,4.4,967.65,2013-08-03
862,25.6,3.1,967.05,2013-08-04
866,22.6,5.6,964.5999999999999,2013-08-05
869,23.4,2.8,962.0999999999999,2013-08-06
874,20.6,3.6,962.0,2013-08-07
879,17.6,4.2,969.1500000000001,2013-08-08
883,19.4,6.1,972.45,2013-08-09
884,20.7,6.1,970.8499999999999,2013-08-10
890,23.8,2.2,966.7,2013-08-11
892,24.5,5.0,965.65,2013-08-12
898,21.2,6.4,968.35,2013-08-13
900,21.2,5.6,967.7,2013-08-14
905,22.8,1.9,965.85,2013-08-15
908,23.3,3.6,966.75,2013-08-16
912,23.6,3.3,966.85,2013-08-17
916,24.1,1.1,965.4000000000001,2013-08-18
921,21.0,5.3,969.85,2013-08-19
925,21.4,5.3,970.2,2013-08-20
928,23.3,1.1,965.95,2013-08-21
934,24.8,2.5,962.7,2013-08-22
937,24.2,4.2,964.3499999999999,2013-08-23
942,19.6,6.9,967.05,2013-08-24
946,19.0,5.0,964.6500000000001,2013-08-25
951,17.6,4.2,962.45,2013-08-26
954,19.1,4.4,964.7,2013-08-27
958,20.6,5.0,966.3499999999999,2013-08-28
961,19.7,3.9,968.4,2013-08-29
965,20.0,5.8,970.05,2013-08-30
968,20.1,6.4,971.55,2013-08-31
974,20.6,6.4,971.9000000000001,2013-09-01
979,21.0,5.3,971.0,2013-09-02
983,22.0,1.4,969.9,2013-09-03
984,23.0,3.1,967.1,2013-09-04
990,22.3,2.8,962.3499999999999,2013-09-05
995,21.9,2.8,961.8,2013-09-06
998,18.6,0.8,964.0999999999999,2013-09-07
1003,15.8,2.2,969.6,2013-09-08
1005,16.3,3.3,971.7,2013-09-09
1010,17.2,5.0,970.0,2013-09-10
1015,15.8,6.4,970.1,2013-09-11
1016,16.0,5.3,970.8499999999999,2013-09-12
1023,18.9,4.2,970.5999999999999,2013-09-13
1025,19.0,2.8,966.8,2013-09-14
1030,14.4,5.0,966.6,2013-09-15
1035,16.0,3.3,963.45,2013-09-16
1039,16.0,5.0,964.9,2013-09-17
1042,17.8,3.6,964.85,2013-09-18
1047,17.3,5.6,966.7,2013-09-19
1051,19.2,4.7,969.1500000000001,2013-09-20
1053,18.3,4.2,971.3,2013-09-21
1058,19.6,0.8,970.45,2013-09-22
1060,20.2,2.5,966.65,2013-09-23
1067,22.1,0.6,962.8499999999999,2013-09-24
1068,24.6,2.8,960.45,2013-09-25
1072,25.0,3.1,960.55,2013-09-26
1078,24.3,4.4,957.85,2013-09-27
1082,21.2,5.3,953.9000000000001,2013-09-28
1086,19.0,1.9,955.3499999999999,2013-09-29
1089,20.4,0.8,955.8,2013-09-30
1095,20.0,0.8,957.5999999999999,2013-10-01
1097,22.9,2.2,958.5,2013-10-02
1100,23.2,8.1,959.45,2013-10-03
1104,18.8,4.2,964.7,2013-10-04
1111,15.6,3.1,970.9000000000001,2013-10-05
1115,15.6,3.6,971.6500000000001,2013-10-06
1118,15.3,3.9,970.05,2013-10-07
1121,14.0,4.2,971.25,2013-10-08
1124,14.8,6.7,969.8499999999999,2013-10-09
1129,12.6,3.9,966.2,2013-10-10
1134,10.2,2.8,964.0,2013-10-11
1139,9.2,1.1,965.45,2013-10-12
1140,11.6,0.6,967.05,2013-10-13
1144,15.8,1.7,966.55,2013-10-14
1148,16.0,2.2,965.95,2013-10-15
1153,19.7,1.9,968.0,2013-10-16
1157,18.5,0.6,966.5,2013-10-17
1162,19.6,4.4,961.05,2013-10-18
1167,20.8,5.8,961.3,2013-10-19
1170,18.5,1.7,964.6500000000001,2013-10-20
1174,16.7,4.7,961.7,2013-10-21
1177,18.2,10.0,956.3499999999999,2013-10-22
1181,17.2,1.9,960.7,2013-10-23
1185,16.5,8.1,960.75,2013-10-24
1189,20.2,6.7,960.55,2013-10-25
1194,16.8,3.6,964.95,2013-10-26
1196,14.6,1.9,968.55,2013-10-27
1201,16.0,3.3,965.05,2013-10-28
1204,9.9,3.6,968.95,2013-10-29
1211,10.8,4.7,970.5999999999999,2013-10-30
1215,10.2,1.9,970.7,2013-10-31
1217,9.5,0.3,968.35,2013-11-01
1220,16.4,2.5,963.9000000000001,2013-11-02
1225,12.5,2.5,965.2,2013-11-03
1229,11.1,3.1,957.9,2013-11-04
1235,14.0,4.2,961.6,2013-11-05
1238,17.1,1.4,966.75,2013-11-06
1241,15.4,0.8,965.2,2013-11-07
1245,14.8,2.8,965.6500000000001,2013-11-08
1248,9.8,2.5,969.0,2013-11-09
1255,12.0,6.9,971.7,2013-11-10
1256,12.6,6.1,973.55,2013-11-11
1261,13.4,4.7,972.35,2013-11-12
1266,13.0,6.4,972.5,2013-11-13
1271,9.4,6.4,975.2,2013-11-14
1275,5.6,5.3,969.75,2013-11-15
1279,4.7,4.2,967.3499999999999,2013-11-16
1283,7.4,2.8,962.55,2013-11-17
1287,8.4,7.2,956.6500000000001,2013-11-18
1290,6.8,6.1,960.1500000000001,2013-11-19
1292,3.6,3.1,962.3499999999999,2013-11-20
1298,5.5,3.1,955.5999999999999,2013-11-21
1301,4.0,5.0,955.8499999999999,2013-11-22
1305,4.8,7.5,961.9000000000001,2013-11-23
1308,4.4,9.2,967.8,2013-11-24
1315,4.8,7.8,973.6,2013-11-25
1319,3.6,6.4,975.2,2013-11-26
