,tmed,dir,velmedia,presMax,presMin,fecha
3,7.0,34.0,1.7,970.5,963.1,2013-01-01
6,6.8,99.0,8.1,979.2,970.1,2013-01-02
11,7.4,35.0,1.9,985.6,979.1,2013-01-03
15,8.2,35.0,1.7,985.4,980.7,2013-01-04
18,10.6,35.0,4.7,980.8,976.9,2013-01-05
20,8.6,99.0,1.7,976.9,972.7,2013-01-06
25,6.2,34.0,0.0,973.9,970.8,2013-01-07
30,5.6,31.0,0.6,975.6,972.6,2013-01-08
32,1.2,3.0,0.8,972.7,969.3,2013-01-09
37,8.8,99.0,2.2,972.0,968.4,2013-01-10
42,6.3,33.0,1.1,972.0,966.0,2013-01-11
44,5.8,29.0,0.0,966.0,958.0,2013-01-12
50,5.0,35.0,3.3,965.9,957.8,2013-01-13
54,2.2,99.0,0.6,967.4,964.1,2013-01-14
58,2.6,32.0,1.1,964.2,960.0,2013-01-15
63,6.2,36.0,1.4,961.5,952.8,2013-01-16
66,5.4,36.0,3.6,962.9,955.1,2013-01-17
68,6.2,11.0,0.6,957.5,940.0,2013-01-18
75,8.6,99.0,3.3,940.0,925.3,2013-01-19
79,5.4,32.0,2.5,948.6,936.1,2013-01-20
80,4.2,31.0,3.6,957.4,947.0,2013-01-21
87,2.8,14.0,4.4,956.6,949.1,2013-01-22
91,2.0,30.0,3.3,959.1,951.9,2013-01-23
92,3.4,31.0,5.3,963.8,952.1,2013-01-24
98,4.0,34.0,0.0,963.7,959.2,2013-01-25
102,6.3,31.0,5.6,968.0,957.8,2013-01-26
106,4.6,35.0,1.4,966.2,958.7,2013-01-27
108,7.2,30.0,1.1,973.2,966.2,2013-01-28
115,6.0,99.0,0.6,975.0,972.5,2013-01-29
119,8.1,99.0,1.4,976.6,972.9,2013-01-30
120,9.8,99.0,0.3,978.4,972.9,2013-01-31
124,9.2,32.0,2.2,972.9,955.5,2013-02-01
131,5.4,31.0,6.1,970.4,956.4,2013-02-02
133,4.2,99.0,6.9,977.2,970.4,2013-02-03
138,8.5,34.0,2.2,977.1,973.9,2013-02-04
142,8.1,34.0,3.3,974.1,964.3,2013-02-05
147,3.8,32.0,5.8,965.1,960.3,2013-02-06
148,2.0,36.0,5.0,970.9,965.1,2013-02-07
153,1.8,31.0,2.5,968.4,961.1,2013-02-08
159,4.1,34.0,3.3,971.0,967.7,2013-02-09
160,5.0,33.0,2.8,967.7,950.6,2013-02-10
164,3.8,29.0,3.3,955.3,951.9,2013-02-11
171,3.2,99.0,3.9,965.5,954.5,2013-02-12
175,6.3,34.0,3.6,969.7,965.1,2013-02-13
177,9.0,30.0,3.3,971.2,969.5,2013-02-14
180,6.6,99.0,3.6,969.8,967.8,2013-02-15
184,6.0,21.0,0.3,967.9,963.8,2013-02-16
188,5.2,99.0,1.1,964.2,958.6,2013-02-17
194,8.8,5.0,0.6,960.3,958.4,2013-02-18
196,8.8,11.0,4.7,960.8,958.9,2013-02-19
203,10.1,99.0,1.7,961.2,958.1,2013-02-20
205,9.4,31.0,1.1,958.8,951.4,2013-02-21
210,4.7,99.0,5.0,951.5,948.6,2013-02-22
214,-1.2,2.0,6.4,964.1,950.2,2013-02-23
217,1.2,33.0,6.4,966.9,962.9,2013-02-24
223,0.8,34.0,3.9,967.5,965.7,2013-02-25
226,1.9,99.0,0.6,967.5,965.7,2013-02-26
229,3.4,99.0,2.5,969.2,965.3,2013-02-27
233,4.1,32.0,3.3,966.9,961.6,2013-02-28
239,7.6,35.0,6.9,965.7,960.9,2013-03-01
241,8.0,99.0,2.2,965.9,962.7,2013-03-02
247,8.0,12.0,3.3,964.4,958.4,2013-03-03
248,10.7,13.0,6.9,958.8,948.4,2013-03-04
255,10.9,16.0,6.4,948.4,944.2,2013-03-05
259,14.2,24.0,1.9,947.2,942.1,2013-03-06
261,13.0,99.0,6.9,949.4,941.8,2013-03-07
264,11.8,25.0,3.1,953.8,948.8,2013-03-08
271,10.0,23.0,3.1,953.3,950.8,2013-03-09
273,11.2,99.0,3.1,951.2,949.1,2013-03-10
278,10.4,26.0,5.6,950.9,947.3,2013-03-11
283,6.5,34.0,2.5,951.5,945.4,2013-03-12
284,1.2,35.0,7.5,960.4,947.9,2013-03-13
289,1.8,35.0,3.6,963.9,959.5,2013-03-14
294,5.2,2.0,1.4,966.2,961.6,2013-03-15
299,5.0,12.0,5.3,961.6,952.9,2013-03-16
300,6.3,11.0,2.8,952.9,946.2,2013-03-17
304,5.8,30.0,3.1,954.3,947.4,2013-03-18
308,6.6,18.0,3.3,954.4,947.6,2013-03-19
315,8.1,29.0,3.9,964.8,950.8,2013-03-20
319,8.6,99.0,3.9,964.8,956.7,2013-03-21
322,12.6,20.0,3.3,956.8,950.3,2013-03-22
325,9.8,21.0,1.9,954.0,947.7,2013-03-23
328,10.8,33.0,2.8,954.5,948.1,2013-03-24
334,8.7,25.0,1.9,956.2,949.6,2013-03-25
337,11.8,27.0,1.7,952.6,949.0,2013-03-26
342,12.4,18.0,0.8,950.9,947.6,2013-03-27
346,12.6,32.0,0.3,956.4,950.5,2013-03-28
351,15.0,99.0,3.1,956.1,949.0,2013-03-29
354,9.2,99.0,5.0,959.9,952.6,2013-03-30
356,11.1,99.0,1.9,959.1,944.5,2013-03-31
362,11.0,31.0,4.4,952.4,942.4,2013-04-01
364,11.1,99.0,3.6,958.0,952.3,2013-04-02
368,10.2,21.0,3.9,957.2,947.6,2013-04-03
372,8.4,35.0,5.3,954.0,946.7,2013-04-04
376,5.3,32.0,4.4,960.1,953.1,2013-04-05
380,4.0,35.0,5.3,968.2,959.4,2013-04-06
385,8.7,32.0,1.9,967.5,957.9,2013-04-07
391,11.8,99.0,2.8,958.0,955.3,2013-04-08
395,8.8,17.0,2.2,962.2,954.5,2013-04-09
399,12.0,20.0,2.8,963.0,959.8,2013-04-10
402,15.6,33.0,5.6,960.4,954.5,2013-04-11
404,12.8,20.0,2.8,965.2,960.0,2013-04-12
408,14.9,19.0,2.5,968.6,965.2,2013-04-13
415,18.4,99.0,4.7,969.0,965.0,2013-04-14
419,17.2,27.0,0.6,970.1,966.4,2013-04-15
421,18.6,24.0,0.6,970.0,967.2,2013-04-16
427,19.8,34.0,1.9,969.8,965.5,2013-04-17
429,13.8,36.0,7.5,972.3,969.6,2013-04-18
433,10.2,36.0,8.3,975.5,971.0,2013-04-19
436,9.8,36.0,6.9,974.8,969.5,2013-04-20
443,9.7,32.0,6.7,969.7,965.4,2013-04-21
447,10.0,99.0,6.7,968.8,966.3,2013-04-22
450,12.3,34.0,2.8,970.6,967.6,2013-04-23
453,13.4,99.0,3.1,971.8,968.6,2013-04-24
457,15.8,20.0,1.4,970.3,965.3,2013-04-25
461,10.8,32.0,4.2,966.2,961.3,2013-04-26
465,6.3,99.0,6.4,961.4,956.5,2013-04-27
471,5.8,34.0,6.1,961.6,958.2,2013-04-28
472,8.8,2.0,6.4,961.6,959.3,2013-04-29
477,10.6,21.0,1.7,961.7,957.3,2013-04-30
482,11.7,34.0,2.8,965.7,961.6,2013-05-01
486,10.0,99.0,2.5,968.6,964.4,2013-05-02
489,10.5,34.0,5.0,968.7,967.0,2013-05-03
495,12.5,31.0,3.6,969.1,966.3,2013-05-04
496,13.8,36.0,4.2,968.8,966.1,2013-05-05
503,15.4,28.0,1.7,967.9,963.9,2013-05-06
505,18.4,27.0,1.9,965.8,962.9,2013-05-07
509,15.8,99.0,1.1,965.7,962.4,2013-05-08
514,13.3,32.0,1.4,967.9,962.3,2013-05-09
516,11.5,32.0,6.1,969.4,967.3,2013-05-10
520,10.8,99.0,5.3,972.0,968.4,2013-05-11
524,10.9,99.0,5.3,972.0,970.7,2013-05-12
529,13.0,99.0,3.9,971.2,965.3,2013-05-13
533,15.0,36.0,1.9,965.5,952.8,2013-05-14
537,8.2,99.0,5.0,953.0,951.4,2013-05-15
540,9.1,32.0,4.7,951.9,947.3,2013-05-16
545,9.4,20.0,3.1,949.5,945.7,2013-05-17
550,7.4,25.0,1.1,959.2,949.3,2013-05-18
555,9.2,99.0,3.9,966.3,959.1,2013-05-19
557,9.2,99.0,4.7,968.1,965.8,2013-05-20
563,7.1,99.0,4.2,967.9,965.6,2013-05-21
564,13.4,34.0,6.1,967.7,965.8,2013-05-22
569,9.5,34.0,5.8,967.1,965.3,2013-05-23
575,9.9,99.0,6.4,967.2,965.2,2013-05-24
579,9.6,31.0,6.4,969.0,965.6,2013-05-25
582,11.7,36.0,0.8,968.3,960.5,2013-05-26
584,15.3,33.0,1.4,960.6,955.2,2013-05-27
589,10.4,35.0,4.7,961.0,954.0,2013-05-28
594,9.4,32.0,4.2,962.0,958.2,2013-05-29
599,9.5,31.0,4.7,966.4,961.3,2013-05-30
603,11.0,32.0,6.1,970.4,964.1,2013-05-31
604,11.4,32.0,5.6,972.0,969.3,2013-06-01
609,12.6,35.0,7.2,971.6,969.6,2013-06-02
