,indicativo,fecha,tmed,velmedia,presmed
1099,9263D,2015-01-01,5.4,1.9,981.05
1100,9263D,2015-01-02,6.8,2.5,983.2
1101,9263D,2015-01-03,6.8,0.8,982.8
1102,9263D,2015-01-04,9.3,3.6,980.6500000000001
1103,9263D,2015-01-05,5.2,0.6,975.75
1104,9263D,2015-01-06,4.2,2.8,973.65
1105,9263D,2015-01-07,7.1,1.1,977.4000000000001
1106,9263D,2015-01-08,2.5,0.8,984.3
1107,9263D,2015-01-09,8.4,0.6,987.95
1108,9263D,2015-01-10,7.3,2.5,981.5
1109,9263D,2015-01-11,5.4,4.4,979.7
1110,9263D,2015-01-12,5.0,0.0,976.95
1111,9263D,2015-01-13,5.8,1.4,970.8499999999999
1112,9263D,2015-01-14,7.6,1.9,970.45
1113,9263D,2015-01-15,8.8,7.5,961.0
1114,9263D,2015-01-16,6.2,2.5,959.95
1115,9263D,2015-01-17,5.5,0.8,967.05
1116,9263D,2015-01-18,2.0,4.7,960.0
1117,9263D,2015-01-19,3.2,3.3,958.5
1118,9263D,2015-01-20,1.9,0.3,957.8
1119,9263D,2015-01-21,3.2,2.2,955.05
1120,9263D,2015-01-22,3.4,3.1,960.85
1121,9263D,2015-01-23,4.8,5.8,970.6
1122,9263D,2015-01-24,5.6,5.6,975.0
1123,9263D,2015-01-25,4.4,9.2,976.85
1124,9263D,2015-01-26,5.2,5.8,977.1
1125,9263D,2015-01-27,6.6,4.7,976.0
1126,9263D,2015-01-28,6.9,1.9,970.5
1127,9263D,2015-01-29,7.1,1.1,955.6500000000001
1128,9263D,2015-01-30,6.7,3.1,942.1
1129,9263D,2015-01-31,3.8,1.7,944.25
1130,9263D,2015-02-01,4.0,4.4,955.4
1131,9263D,2015-02-02,4.2,1.1,952.5999999999999
1132,9263D,2015-02-03,4.2,2.5,947.8
1133,9263D,2015-02-04,0.6,9.2,953.35
1134,9263D,2015-02-05,0.3,9.4,960.6
1135,9263D,2015-02-06,-1.0,7.2,959.8499999999999
1136,9263D,2015-02-07,1.4,2.8,966.8499999999999
1137,9263D,2015-02-08,1.4,6.9,972.7
1138,9263D,2015-02-09,4.0,2.2,972.65
