,fecha,tmed
0,2019-07-21,25.2
1,2019-07-22,28.8
2,2019-07-23,30.0
3,2019-07-24,28.1
4,2019-07-25,30.2
5,2019-07-26,21.0
6,2019-07-27,16.0
7,2019-07-28,18.6
8,2019-07-29,21.5
9,2019-07-30,18.1
10,2019-07-31,18.8
11,2019-08-01,22.8
12,2019-08-02,22.4
13,2019-08-03,23.8
14,2019-08-04,25.4
15,2019-08-05,25.0
16,2019-08-06,26.4
17,2019-08-07,24.6
18,2019-08-08,27.4
19,2019-08-09,26.6
20,2019-08-10,21.2
21,2019-08-11,20.9
22,2019-08-12,18.8
23,2019-08-13,17.8
24,2019-08-14,19.6
25,2019-08-15,19.3
26,2019-08-16,21.5
27,2019-08-17,25.4
28,2019-08-18,23.9
29,2019-08-19,18.8
30,2019-08-20,19.2
31,2019-08-21,20.2
32,2019-08-22,19.6
33,2019-08-23,21.7
34,2019-08-24,24.4
35,2019-08-25,26.0
36,2019-08-26,23.6
37,2019-08-27,22.0
38,2019-08-28,23.4
39,2019-08-29,25.4
40,2019-08-30,25.8
41,2019-08-31,26.6
42,2019-09-01,20.9
43,2019-09-02,18.4
44,2019-09-03,18.6
45,2019-09-04,18.6
46,2019-09-05,17.3
47,2019-09-06,16.2
48,2019-09-07,16.8
49,2019-09-08,16.2
50,2019-09-09,15.4
51,2019-09-10,14.4
52,2019-09-11,18.0
53,2019-09-12,19.3
54,2019-09-13,20.6
55,2019-09-14,22.4
56,2019-09-15,21.9
57,2019-09-16,23.4
58,2019-09-17,22.8
59,2019-09-18,21.7
60,2019-09-19,20.9
61,2019-09-20,21.6
62,2019-09-21,22.2
63,2019-09-22,18.0
