,indicativo,fecha,tmed,velmedia,presmed
749,9434,2013-07-07,28.6,4.7,990.0999999999999
752,9434,2013-07-08,28.3,2.5,988.8
758,9434,2013-07-09,28.4,4.4,986.05
761,9434,2013-07-10,27.4,1.9,982.6
765,9434,2013-07-11,26.4,1.9,983.0
770,9434,2013-07-12,28.0,3.3,984.5
774,9434,2013-07-13,27.4,2.8,986.05
777,9434,2013-07-14,25.5,1.9,988.3
780,9434,2013-07-15,26.1,2.2,989.1
787,9434,2013-07-16,26.2,1.7,988.35
791,9434,2013-07-17,26.2,3.3,989.9000000000001
795,9434,2013-07-18,26.6,1.9,988.2
799,9434,2013-07-19,26.9,1.9,985.0999999999999
800,9434,2013-07-20,27.6,2.5,984.2
807,9434,2013-07-21,26.5,5.0,986.45
809,9434,2013-07-22,25.2,3.1,985.5
813,9434,2013-07-23,28.0,1.9,983.2
819,9434,2013-07-24,27.5,1.9,985.55
821,9434,2013-07-25,30.1,5.3,983.1
826,9434,2013-07-26,29.4,5.8,980.25
829,9434,2013-07-27,29.4,5.3,978.75
834,9434,2013-07-28,25.9,4.2,984.55
838,9434,2013-07-29,24.2,4.2,990.55
842,9434,2013-07-30,26.6,3.6,992.25
847,9434,2013-07-31,28.0,3.6,987.05
850,9434,2013-08-01,29.7,7.2,983.0
854,9434,2013-08-02,29.2,6.1,984.15
858,9434,2013-08-03,27.6,5.3,987.2
861,9434,2013-08-04,27.6,3.3,988.3
865,9434,2013-08-05,29.4,4.4,984.1
868,9434,2013-08-06,27.1,3.6,982.7
873,9434,2013-08-07,24.4,4.7,983.2
877,9434,2013-08-08,21.2,7.5,989.85
880,9434,2013-08-09,23.4,6.7,992.45
887,9434,2013-08-10,25.0,8.1,990.25
891,9434,2013-08-11,26.7,2.8,987.0999999999999
893,9434,2013-08-12,27.6,2.5,985.9000000000001
896,9434,2013-08-13,25.9,6.1,987.9
902,9434,2013-08-14,25.6,5.3,988.0
906,9434,2013-08-15,25.8,1.7,987.3
911,9434,2013-08-16,26.2,2.5,987.3
913,9434,2013-08-17,25.0,1.7,987.9
918,9434,2013-08-18,27.0,1.7,986.5
923,9434,2013-08-19,26.5,7.8,989.4
926,9434,2013-08-20,24.9,4.7,991.0
929,9434,2013-08-21,25.6,2.2,987.55
933,9434,2013-08-22,27.2,3.6,983.5999999999999
939,9434,2013-08-23,26.0,3.6,984.0999999999999
941,9434,2013-08-24,23.4,9.7,986.5
944,9434,2013-08-25,22.5,7.8,984.65
949,9434,2013-08-26,23.0,5.8,982.3499999999999
953,9434,2013-08-27,22.9,5.6,985.15
959,9434,2013-08-28,22.0,3.3,986.85
960,9434,2013-08-29,22.4,3.9,988.95
966,9434,2013-08-30,23.9,5.6,990.15
970,9434,2013-08-31,22.8,6.7,991.6
973,9434,2013-09-01,23.2,6.4,991.8499999999999
977,9434,2013-09-02,23.3,3.3,992.35
980,9434,2013-09-03,23.9,1.9,992.0
