,indicativo,tmed,velmedia,presmed,fecha
749,9434,28.6,4.7,990.0999999999999,2013-07-07
752,9434,28.3,2.5,988.8,2013-07-08
758,9434,28.4,4.4,986.05,2013-07-09
761,9434,27.4,1.9,982.6,2013-07-10
765,9434,26.4,1.9,983.0,2013-07-11
770,9434,28.0,3.3,984.5,2013-07-12
774,9434,27.4,2.8,986.05,2013-07-13
777,9434,25.5,1.9,988.3,2013-07-14
780,9434,26.1,2.2,989.1,2013-07-15
787,9434,26.2,1.7,988.35,2013-07-16
791,9434,26.2,3.3,989.9000000000001,2013-07-17
795,9434,26.6,1.9,988.2,2013-07-18
799,9434,26.9,1.9,985.0999999999999,2013-07-19
800,9434,27.6,2.5,984.2,2013-07-20
807,9434,26.5,5.0,986.45,2013-07-21
809,9434,25.2,3.1,985.5,2013-07-22
813,9434,28.0,1.9,983.2,2013-07-23
819,9434,27.5,1.9,985.55,2013-07-24
821,9434,30.1,5.3,983.1,2013-07-25
826,9434,29.4,5.8,980.25,2013-07-26
829,9434,29.4,5.3,978.75,2013-07-27
834,9434,25.9,4.2,984.55,2013-07-28
838,9434,24.2,4.2,990.55,2013-07-29
842,9434,26.6,3.6,992.25,2013-07-30
847,9434,28.0,3.6,987.05,2013-07-31
850,9434,29.7,7.2,983.0,2013-08-01
854,9434,29.2,6.1,984.15,2013-08-02
858,9434,27.6,5.3,987.2,2013-08-03
861,9434,27.6,3.3,988.3,2013-08-04
865,9434,29.4,4.4,984.1,2013-08-05
868,9434,27.1,3.6,982.7,2013-08-06
873,9434,24.4,4.7,983.2,2013-08-07
877,9434,21.2,7.5,989.85,2013-08-08
880,9434,23.4,6.7,992.45,2013-08-09
887,9434,25.0,8.1,990.25,2013-08-10
891,9434,26.7,2.8,987.0999999999999,2013-08-11
893,9434,27.6,2.5,985.9000000000001,2013-08-12
896,9434,25.9,6.1,987.9,2013-08-13
902,9434,25.6,5.3,988.0,2013-08-14
906,9434,25.8,1.7,987.3,2013-08-15
911,9434,26.2,2.5,987.3,2013-08-16
913,9434,25.0,1.7,987.9,2013-08-17
918,9434,27.0,1.7,986.5,2013-08-18
923,9434,26.5,7.8,989.4,2013-08-19
926,9434,24.9,4.7,991.0,2013-08-20
929,9434,25.6,2.2,987.55,2013-08-21
933,9434,27.2,3.6,983.5999999999999,2013-08-22
939,9434,26.0,3.6,984.0999999999999,2013-08-23
941,9434,23.4,9.7,986.5,2013-08-24
944,9434,22.5,7.8,984.65,2013-08-25
949,9434,23.0,5.8,982.3499999999999,2013-08-26
953,9434,22.9,5.6,985.15,2013-08-27
959,9434,22.0,3.3,986.85,2013-08-28
960,9434,22.4,3.9,988.95,2013-08-29
966,9434,23.9,5.6,990.15,2013-08-30
970,9434,22.8,6.7,991.6,2013-08-31
973,9434,23.2,6.4,991.8499999999999,2013-09-01
977,9434,23.3,3.3,992.35,2013-09-02
980,9434,23.9,1.9,992.0,2013-09-03
987,9434,23.6,4.2,989.0999999999999,2013-09-04
989,9434,23.5,2.2,983.85,2013-09-05
993,9434,23.2,3.3,982.5,2013-09-06
997,9434,21.2,2.8,985.75,2013-09-07
1001,9434,21.0,3.6,991.65,2013-09-08
1007,9434,20.0,4.7,993.55,2013-09-09
1009,9434,22.8,6.4,990.05,2013-09-10
1013,9434,19.2,8.1,990.7,2013-09-11
1018,9434,18.6,7.5,991.25,2013-09-12
1021,9434,21.6,3.3,992.15,2013-09-13
1024,9434,22.9,1.4,987.95,2013-09-14
1031,9434,20.4,8.9,987.2,2013-09-15
1032,9434,20.8,5.8,984.45,2013-09-16
1037,9434,19.8,7.8,985.6500000000001,2013-09-17
1040,9434,20.4,5.3,985.3,2013-09-18
1045,9434,21.6,10.3,986.5999999999999,2013-09-19
1050,9434,22.2,7.8,984.55,2013-09-20
1052,9434,22.6,3.3,992.1,2013-09-21
1057,9434,21.2,1.4,992.1,2013-09-22
1062,9434,22.8,3.3,988.7,2013-09-23
1066,9434,23.7,1.4,984.5999999999999,2013-09-24
1071,9434,24.4,3.3,982.7,2013-09-25
1075,9434,25.5,3.9,983.0,2013-09-26
1079,9434,24.8,2.2,980.55,2013-09-27
1083,9434,22.5,2.2,977.25,2013-09-28
1087,9434,21.8,4.4,977.45,2013-09-29
1091,9434,24.0,1.1,977.8,2013-09-30
1094,9434,25.3,3.6,979.4,2013-10-01
1099,9434,24.2,2.2,980.25,2013-10-02
1102,9434,23.6,5.6,982.8,2013-10-03
1107,9434,19.8,2.8,986.6,2013-10-04
1108,9434,19.6,6.9,991.75,2013-10-05
1113,9434,18.8,6.4,992.5999999999999,2013-10-06
1116,9434,17.7,3.1,991.55,2013-10-07
1120,9434,17.0,3.9,992.45,2013-10-08
1127,9434,17.1,4.4,991.2,2013-10-09
1131,9434,16.4,6.1,986.95,2013-10-10
1132,9434,14.4,6.4,985.65,2013-10-11
1136,9434,12.6,0.6,987.75,2013-10-12
1141,9434,14.2,1.1,989.25,2013-10-13
1145,9434,16.8,0.8,988.95,2013-10-14
1151,9434,19.6,2.8,987.85,2013-10-15
1154,9434,20.2,2.5,988.95,2013-10-16
1158,9434,20.6,0.8,987.95,2013-10-17
1160,9434,21.2,2.5,983.75,2013-10-18
1166,9434,20.5,2.2,985.25,2013-10-19
1168,9434,20.2,0.8,987.25,2013-10-20
1172,9434,18.8,1.4,985.5999999999999,2013-10-21
1176,9434,17.6,2.8,981.05,2013-10-22
1180,9434,19.5,4.4,983.95,2013-10-23
1184,9434,18.3,3.9,984.25,2013-10-24
1190,9434,21.5,5.8,983.55,2013-10-25
1195,9434,21.8,2.5,987.95,2013-10-26
1198,9434,19.5,3.3,992.1,2013-10-27
1200,9434,19.0,3.3,987.6,2013-10-28
1207,9434,13.8,8.9,989.5,2013-10-29
1210,9434,13.6,8.1,991.4000000000001,2013-10-30
1214,9434,10.8,3.9,993.2,2013-10-31
1219,9434,9.8,1.1,991.35,2013-11-01
1223,9434,18.4,2.2,986.7,2013-11-02
1226,9434,15.1,3.9,987.5,2013-11-03
1230,9434,14.0,4.4,981.1,2013-11-04
1232,9434,17.8,8.1,983.7,2013-11-05
1236,9434,18.6,3.9,988.6500000000001,2013-11-06
1242,9434,16.0,0.8,987.8,2013-11-07
1244,9434,15.2,4.7,988.05,2013-11-08
1251,9434,13.0,5.0,991.95,2013-11-09
