,indicativo,tmed,dir,velmedia,presMax,presMin,fecha
749,9434,28.6,29.0,4.7,992.3,987.9,2013-07-07
752,9434,28.3,11.0,2.5,991.3,986.3,2013-07-08
758,9434,28.4,12.0,4.4,988.9,983.2,2013-07-09
761,9434,27.4,99.0,1.9,985.6,979.6,2013-07-10
765,9434,26.4,10.0,1.9,984.9,981.1,2013-07-11
770,9434,28.0,21.0,3.3,986.7,982.3,2013-07-12
774,9434,27.4,20.0,2.8,988.9,983.2,2013-07-13
777,9434,25.5,33.0,1.9,990.7,985.9,2013-07-14
780,9434,26.1,34.0,2.2,991.2,987.0,2013-07-15
787,9434,26.2,29.0,1.7,990.6,986.1,2013-07-16
791,9434,26.2,28.0,3.3,991.7,988.1,2013-07-17
795,9434,26.6,28.0,1.9,990.5,985.9,2013-07-18
799,9434,26.9,12.0,1.9,987.3,982.9,2013-07-19
800,9434,27.6,33.0,2.5,986.2,982.2,2013-07-20
807,9434,26.5,24.0,5.0,988.3,984.6,2013-07-21
809,9434,25.2,11.0,3.1,988.0,983.0,2013-07-22
813,9434,28.0,99.0,1.9,985.6,980.8,2013-07-23
819,9434,27.5,99.0,1.9,987.4,983.7,2013-07-24
821,9434,30.1,99.0,5.3,985.7,980.5,2013-07-25
826,9434,29.4,99.0,5.8,982.8,977.7,2013-07-26
829,9434,29.4,25.0,5.3,980.9,976.6,2013-07-27
834,9434,25.9,28.0,4.2,988.2,980.9,2013-07-28
838,9434,24.2,34.0,4.2,992.9,988.2,2013-07-29
842,9434,26.6,28.0,3.6,994.6,989.9,2013-07-30
847,9434,28.0,13.0,3.6,990.4,983.7,2013-07-31
850,9434,29.7,99.0,7.2,985.1,980.9,2013-08-01
854,9434,29.2,9.0,6.1,986.4,981.9,2013-08-02
858,9434,27.6,99.0,5.3,989.4,985.0,2013-08-03
861,9434,27.6,30.0,3.3,990.9,985.7,2013-08-04
865,9434,29.4,29.0,4.4,986.5,981.7,2013-08-05
868,9434,27.1,30.0,3.6,986.5,978.9,2013-08-06
873,9434,24.4,32.0,4.7,987.3,979.1,2013-08-07
877,9434,21.2,30.0,7.5,993.6,986.1,2013-08-08
880,9434,23.4,30.0,6.7,994.4,990.5,2013-08-09
887,9434,25.0,99.0,8.1,992.2,988.3,2013-08-10
891,9434,26.7,99.0,2.8,989.8,984.4,2013-08-11
893,9434,27.6,31.0,2.5,989.2,982.6,2013-08-12
896,9434,25.9,29.0,6.1,989.3,986.5,2013-08-13
902,9434,25.6,31.0,5.3,990.0,986.0,2013-08-14
906,9434,25.8,28.0,1.7,989.4,985.2,2013-08-15
911,9434,26.2,21.0,2.5,990.4,984.2,2013-08-16
913,9434,25.0,29.0,1.7,989.9,985.9,2013-08-17
918,9434,27.0,14.0,1.7,988.3,984.7,2013-08-18
923,9434,26.5,31.0,7.8,992.5,986.3,2013-08-19
926,9434,24.9,29.0,4.7,993.0,989.0,2013-08-20
929,9434,25.6,11.0,2.2,990.4,984.7,2013-08-21
933,9434,27.2,13.0,3.6,985.9,981.3,2013-08-22
939,9434,26.0,12.0,3.6,985.8,982.4,2013-08-23
941,9434,23.4,29.0,9.7,987.9,985.1,2013-08-24
944,9434,22.5,29.0,7.8,987.9,981.4,2013-08-25
949,9434,23.0,30.0,5.8,983.9,980.8,2013-08-26
953,9434,22.9,30.0,5.6,986.5,983.8,2013-08-27
959,9434,22.0,30.0,3.3,988.2,985.5,2013-08-28
960,9434,22.4,30.0,3.9,990.2,987.7,2013-08-29
966,9434,23.9,30.0,5.6,991.8,988.5,2013-08-30
970,9434,22.8,31.0,6.7,993.0,990.2,2013-08-31
973,9434,23.2,29.0,6.4,993.4,990.3,2013-09-01
977,9434,23.3,99.0,3.3,994.1,990.6,2013-09-02
980,9434,23.9,8.0,1.9,994.2,989.8,2013-09-03
987,9434,23.6,7.0,4.2,991.4,986.8,2013-09-04
989,9434,23.5,99.0,2.2,987.6,980.1,2013-09-05
993,9434,23.2,28.0,3.3,984.6,980.4,2013-09-06
997,9434,21.2,99.0,2.8,987.5,984.0,2013-09-07
1001,9434,21.0,29.0,3.6,995.8,987.5,2013-09-08
1007,9434,20.0,99.0,4.7,995.8,991.3,2013-09-09
1009,9434,22.8,29.0,6.4,992.4,987.7,2013-09-10
1013,9434,19.2,99.0,8.1,991.9,989.5,2013-09-11
1018,9434,18.6,99.0,7.5,992.5,990.0,2013-09-12
1021,9434,21.6,30.0,3.3,994.0,990.3,2013-09-13
1024,9434,22.9,29.0,1.4,991.7,984.2,2013-09-14
1031,9434,20.4,30.0,8.9,988.9,985.5,2013-09-15
1032,9434,20.8,29.0,5.8,987.1,981.8,2013-09-16
1037,9434,19.8,99.0,7.8,986.7,984.6,2013-09-17
1040,9434,20.4,32.0,5.3,986.7,983.9,2013-09-18
1045,9434,21.6,99.0,10.3,987.8,985.4,2013-09-19
1050,9434,22.2,29.0,7.8,991.0,978.1,2013-09-20
1052,9434,22.6,29.0,3.3,993.5,990.7,2013-09-21
1057,9434,21.2,7.0,1.4,994.0,990.2,2013-09-22
1062,9434,22.8,11.0,3.3,991.2,986.2,2013-09-23
1066,9434,23.7,8.0,1.4,986.8,982.4,2013-09-24
1071,9434,24.4,99.0,3.3,984.8,980.6,2013-09-25
1075,9434,25.5,99.0,3.9,985.6,980.4,2013-09-26
1079,9434,24.8,22.0,2.2,983.1,978.0,2013-09-27
1083,9434,22.5,26.0,2.2,979.5,975.0,2013-09-28
1087,9434,21.8,30.0,4.4,978.9,976.0,2013-09-29
1091,9434,24.0,24.0,1.1,978.9,976.7,2013-09-30
1094,9434,25.3,25.0,3.6,980.9,977.9,2013-10-01
1099,9434,24.2,12.0,2.2,981.9,978.6,2013-10-02
1102,9434,23.6,10.0,5.6,985.4,980.2,2013-10-03
