,indicativo,fecha,tmed,velmedia,presmed
0,9434,2017-01-01,2.0,1.7,996.9
1,9434,2017-01-02,1.0,2.2,993.9000000000001
2,9434,2017-01-03,4.0,2.8,993.8
3,9434,2017-01-04,6.5,5.6,993.65
4,9434,2017-01-05,7.8,10.8,994.2
5,9434,2017-01-06,4.0,3.3,998.5
6,9434,2017-01-07,2.6,1.4,999.8
7,9434,2017-01-08,4.6,5.6,997.6
8,9434,2017-01-09,9.2,9.4,993.8
9,9434,2017-01-10,10.4,8.1,987.55
10,9434,2017-01-11,12.2,7.8,990.45
11,9434,2017-01-12,11.7,2.8,990.65
12,9434,2017-01-13,7.4,8.6,990.85
13,9434,2017-01-14,6.2,8.6,995.1500000000001
14,9434,2017-01-15,7.3,7.8,994.4
15,9434,2017-01-16,10.6,10.6,990.4
16,9434,2017-01-17,4.4,11.7,988.35
17,9434,2017-01-18,0.6,5.6,992.15
18,9434,2017-01-19,1.0,4.4,992.85
19,9434,2017-01-20,2.9,5.6,991.3
20,9434,2017-01-21,5.6,3.1,989.15
21,9434,2017-01-22,6.2,6.1,987.25
22,9434,2017-01-23,8.2,8.1,989.05
23,9434,2017-01-24,8.2,10.6,991.25
24,9434,2017-01-25,4.6,7.5,988.95
25,9434,2017-01-26,2.2,3.1,986.3499999999999
26,9434,2017-01-27,9.8,4.7,980.8499999999999
27,9434,2017-01-28,8.9,6.4,988.6
28,9434,2017-01-29,7.6,2.5,993.0
29,9434,2017-01-30,11.2,1.9,990.25
30,9434,2017-01-31,11.4,2.8,986.6
31,9434,2017-02-01,9.1,3.6,986.35
32,9434,2017-02-02,9.5,4.2,982.25
33,9434,2017-02-03,10.8,2.5,982.8499999999999
34,9434,2017-02-04,12.5,4.4,980.75
35,9434,2017-02-05,10.6,8.6,984.3499999999999
36,9434,2017-02-06,10.4,7.5,991.75
37,9434,2017-02-07,11.0,6.7,990.65
38,9434,2017-02-08,7.4,10.3,993.25
39,9434,2017-02-09,8.4,3.9,989.25
40,9434,2017-02-10,8.5,3.3,984.3499999999999
41,9434,2017-02-11,5.4,1.7,983.05
42,9434,2017-02-12,10.6,9.2,977.7
43,9434,2017-02-13,10.6,4.4,980.95
