,fecha,tm_mes,q_med,w_direction,Vel
0,2012-1,9.6,1023.6,26.0,15.0
1,2012-2,7.1,1020.7,33.0,13.9
2,2012-3,12.7,1023.3,7.0,21.1
3,2012-4,15.0,1007.4,34.0,16.9
4,2012-5,19.5,1015.2,24.0,20.6
5,2012-6,22.9,1014.8,6.0,16.1
6,2012-7,24.2,1015.5,32.0,14.4
7,2012-8,26.3,1015.4,1.0,14.4
8,2012-9,22.8,1014.6,27.0,18.1
9,2012-10,18.8,1012.1,99.0,16.4
10,2012-11,14.2,1013.2,26.0,15.0
11,2012-12,11.1,1018.1,32.0,16.4
0,2013-1,10.5,1014.6,99.0,16.9
1,2013-2,9.7,1013.5,7.0,23.3
2,2013-3,13.0,1005.2,7.0,21.7
3,2013-4,14.7,1013.6,7.0,20.0
4,2013-5,16.6,1013.2,26.0,16.9
5,2013-6,21.0,1016.8,8.0,15.0
6,2013-7,25.7,1017.0,23.0,11.7
7,2013-8,25.2,1016.6,35.0,12.8
8,2013-9,22.5,1016.0,25.0,15.0
9,2013-10,20.3,1016.5,34.0,15.3
10,2013-11,13.6,1014.6,99.0,22.8
11,2013-12,10.2,1022.8,31.0,20.0
0,2014-1,11.1,1011.8,99.0,19.7
1,2014-2,11.3,1012.8,31.0,20.6
2,2014-3,13.1,1016.1,99.0,23.3
3,2014-4,16.2,1013.4,6.0,16.1
4,2014-5,17.7,1015.9,4.0,16.4
5,2014-6,22.4,1015.1,7.0,16.1
6,2014-7,24.2,1014.2,99.0,18.1
7,2014-8,24.8,1014.5,7.0,15.3
8,2014-9,23.3,1014.7,,
9,2014-10,20.4,1016.5,1.0,14.4
10,2014-11,,,,
11,2014-12,10.6,1020.3,99.0,18.9
0,2015-1,10.0,1020.0,30.0,24.7
1,2015-2,9.6,1014.5,1.0,18.9
2,2015-3,12.9,1018.8,6.0,22.8
3,2015-4,15.2,1019.5,30.0,13.3
4,2015-5,19.4,1016.5,99.0,18.9
5,2015-6,23.5,1016.7,4.0,16.7
6,2015-7,27.1,1015.4,99.0,15.0
7,2015-8,25.3,1015.0,13.0,15.3
8,2015-9,21.5,1015.5,4.0,18.1
9,2015-10,18.1,1015.1,27.0,14.4
10,2015-11,14.6,1022.4,29.0,22.8
11,2015-12,12.6,1029.0,35.0,13.9
0,2016-1,12.2,1018.9,26.0,18.9
1,2016-2,11.9,1015.0,99.0,18.6
2,2016-3,12.2,1013.2,29.0,23.6
3,2016-4,14.8,1012.9,8.0,18.1
4,2016-5,17.5,1013.8,25.0,16.4
5,2016-6,22.1,1015.4,6.0,16.4
6,2016-7,25.2,1017.2,25.0,16.9
7,2016-8,25.4,1018.3,36.0,14.4
8,2016-9,23.4,1017.7,27.0,17.5
9,2016-10,18.9,1016.7,34.0,16.1
10,2016-11,14.3,1015.2,22.0,18.1
11,2016-12,11.6,1026.5,3.0,17.5
0,2017-1,9.0,1019.7,7.0,23.3
1,2017-2,12.5,1017.8,22.0,30.8
2,2017-3,13.8,1018.2,25.0,22.2
3,2017-4,14.7,1018.2,20.0,15.0
4,2017-5,19.4,1016.3,6.0,18.1
5,2017-6,24.6,1015.1,27.0,21.7
6,2017-7,25.7,1015.6,26.0,18.6
7,2017-8,26.2,1016.4,8.0,19.7
8,2017-9,21.6,1016.8,99.0,15.0
9,2017-10,20.1,1021.2,27.0,16.1
10,2017-11,13.3,1017.6,1.0,13.9
11,2017-12,9.9,1020.6,30.0,27.2
0,2018-1,12.1,1019.2,31.0,19.7
1,2018-2,8.5,1012.1,36.0,21.1
2,2018-3,12.5,1005.0,99.0,21.1
3,2018-4,16.0,1012.8,30.0,22.8
4,2018-5,18.6,1013.9,9.0,16.4
5,2018-6,22.9,1014.1,2.0,15.3
6,2018-7,26.2,1014.2,35.0,13.3
7,2018-8,27.1,1015.9,4.0,16.1
8,2018-9,24.0,1018.7,,
9,2018-10,19.0,1013.6,99.0,17.5
10,2018-11,14.1,1013.9,7.0,15.0
11,2018-12,12.0,1023.2,31.0,14.4
0,2012-1,6.0,973.2,35.0,14.4
1,2012-2,3.7,971.8,32.0,21.1
2,2012-3,10.2,971.4,35.0,21.1
3,2012-4,10.0,956.1,35.0,22.2
4,2012-5,16.3,963.6,31.0,15.3
5,2012-6,20.0,963.5,32.0,19.7
6,2012-7,21.0,965.0,1.0,16.4
7,2012-8,24.3,964.6,35.0,16.4
8,2012-9,19.3,964.4,23.0,22.8
9,2012-10,14.9,960.7,16.0,21.1
10,2012-11,9.5,962.0,36.0,16.4
11,2012-12,7.0,966.6,18.0,18.1
0,2013-1,5.9,964.6,31.0,21.1
1,2013-2,5.2,963.7,36.0,20.6
2,2013-3,9.2,953.4,13.0,22.8
3,2013-4,11.6,962.5,32.0,18.1
4,2013-5,11.4,963.2,36.0,24.7
5,2013-6,16.6,966.4,35.0,14.4
6,2013-7,24.4,965.3,23.0,16.9
7,2013-8,22.1,966.0,32.0,21.1
8,2013-9,19.5,965.4,36.0,18.9
9,2013-10,16.1,964.9,14.0,20.0
10,2013-11,8.6,966.9,35.0,20.6
11,2013-12,5.2,970.4,18.0,22.8
0,2014-1,7.5,960.0,32.0,20.0
1,2014-2,6.7,960.3,16.0,26.4
2,2014-3,9.4,964.7,34.0,23.6
3,2014-4,13.7,962.1,13.0,16.9
4,2014-5,13.8,964.6,99.0,18.6
5,2014-6,19.5,964.2,16.0,22.2
6,2014-7,20.2,964.7,14.0,18.1
7,2014-8,20.6,964.2,31.0,21.1
8,2014-9,20.5,963.3,30.0,18.6
9,2014-10,,965.4,14.0,20.6
10,2014-11,11.7,957.4,12.0,20.0
11,2014-12,6.5,971.1,27.0,19.7
0,2015-1,5.6,969.8,31.0,19.7
1,2015-2,4.9,965.2,99.0,22.2
2,2015-3,9.8,968.7,35.0,20.0
3,2015-4,13.7,966.9,4.0,16.1
4,2015-5,,966.6,17.0,21.7
5,2015-6,20.3,966.1,34.0,16.4
6,2015-7,23.2,965.2,18.0,18.9
7,2015-8,21.7,963.9,26.0,29.2
8,2015-9,16.4,964.6,20.0,26.4
9,2015-10,13.9,963.5,19.0,16.4
